Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
106,pPt-653222,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm
107,pPt-472246,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm
108,pPt-650777,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,--,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm
109,pPt-471060,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm
110,stsnp_c1_13889,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,--,--,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,--,ll,lm,ll,--,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm
111,stsnp_c1_14813,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,--,--,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,--,--,lm,--,--,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm
112,pPt-653290,<lmxll>,{0-},"(ll,lm)",lm,lm,--,ll,ll,--,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,--,lm,lm,lm,lm,--,--
113,pPt-539298,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,--,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm
114,pPt-458310,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm
115,toPt-438408,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,--,lm,lm,lm,lm,--,lm
116,pPt-657327,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,--,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm
117,pPt-471371,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,--,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,--,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,--,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm
118,PM0107_168,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,--,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,--,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,--,--,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm
119,stsnp_c1_10555,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,--,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,--,--,lm,--,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll
120,PM1287_194,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm
121,stsnp_c1_10746,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,--,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,--,--,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll
122,PM0283_178,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,--,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,ll,--,ll,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,--,lm,lm,lm,ll,lm
123,stsnp_c1_11338,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,--,--,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,--,--,lm,--,lm,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,--,lm,lm,ll,ll
124,PM0442_180,<lmxll>,{0-},"(ll,lm)",lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,--,lm,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,--,--,--,--,--,--,--,--,ll,ll,ll,ll,lm,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,lm,--,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,--,ll,lm,lm,lm,--,ll,ll,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,--,ll,lm,--,ll,ll,lm,ll,ll,lm,lm,--,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,--,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,lm,lm,ll,ll
125,pPt-536347,<lmxll>,{0-},"(ll,lm)",lm,ll,lm,lm,ll,--,lm,lm,lm,lm,ll,lm,ll,--,ll,lm,lm,ll,ll,lm,lm,--,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,--,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,--,ll,lm,ll,ll,ll,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,--,ll,lm,lm,lm,ll,lm,lm,--,lm,ll,ll,ll,ll,lm,ll,--,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,--,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,--,ll,lm,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,--,lm,ll,lm,lm,ll,--
126,pPt-472721,<lmxll>,{0-},"(ll,lm)",lm,ll,lm,lm,ll,--,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,ll,ll,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,ll,lm,lm,lm,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll
127,pPt-654031,<lmxll>,{0-},"(ll,lm)",lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,ll,lm,--,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll
128,pPt-458962,<lmxll>,{0-},"(ll,lm)",lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll
129,pPt-473898,<lmxll>,{0-},"(ll,lm)",lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll
